PRIMARY_NAME,LATITUDE83,LONGITUDE83,CRITICAL_MINERALS
ROLFITE COMPANY,41.316432,-73.090773,magnesium
DEL CHAPEL PLACE,39.67637,-75.74366999999998,silicon
DURRETT-SHEPPARD PROPERTY,39.277664,-76.63147399999998,copper
POINCIANA INDUSTRIAL CENTER (PIC),25.8447,-80.23966,arsenic
AK ZINC,42.321205,-85.19909,zinc
FORMER ATCOM PARCEL SITE,38.68775,-90.26828,beryllium
NATIONAL ZINC CO,37.278553,-95.561724,zinc
HELLER,39.79465,-104.98538,arsenic
OAKRIDGE INDUSTRIAL PARK,43.73626,-122.4494,arsenic; chromium
BENTON AUTO WRECKERS,44.54856,-123.31952,arsenic; beryllium
METHUEN MILL PROPERTY,42.7263,-71.18943,arsenic
RIVERS EDGE - PARCELS 4-1 THROUGH 4-6,42.41178,-71.07655,arsenic; chromium
MARALCO,47.42112,-122.235239,aluminum
KVICHAK MARINE,47.654999,-122.361946,aluminum
206 W. HERMAN STREET,30.44877,-87.23180999999998,arsenic
VISION CONSTRUCTION/2500 N. PALAFOX STREET,30.43775,-87.22113,arsenic
IRON TRIANGLE PROPERTY,30.445982,-87.228055,aluminum; copper; manganese; zinc
170 SARGEANT STREET (SARGEANT/BEECH STREETS BLOCK),42.20304,-72.61895,chromium; nickel
ESSEX WIRE,41.93695,-85.62974,copper
LONGWORTH PLATING SVE CO,42.31897,-84.02021,chromium; nickel; tin; zinc
NORTH STREET DUMP,34.91982,-81.93213,aluminum; arsenic; beryllium; chromium; manganese; vanadium
LOGAN'S LANDSCAPING,42.24018,-83.60962999999998,aluminum
HURON TRADE CENTER,42.24108,-83.60714,tin
WILSON AVENUE,41.07133,-80.59878999999998,aluminum
FORMER QUALITY CHEF FOODS,41.970957,-91.658597,arsenic; chromium
CONNECTICUT TRANSFER LLC,41.19334,-73.19042,arsenic; zinc
NSC PLATING,40.74596,-74.19994,nickel
UNION CARBIDE,43.120438,-79.041624,chromium
BARBER COLMAN - INVENSYS METAL PLATING AREA (BUILDINGS 14/15),42.2669,-89.078354,chromium
WILLIAMS AFB BASE CONVERSION PARCEL N TRANSFER,33.283056,-111.942708,beryllium
BRLF-06: AMERICAN PLATING,47.243,-122.43002,copper; nickel
SILVER CITY ALUMINUM,41.9007,-71.08848,aluminum
CONSTRCTN MACHINERY CO,42.49996,-92.32047,arsenic; chromium
VIACOM/GULF & WESTERN,39.88691,-75.12983,titanium
PARK MADISON,40.618507,-74.424006,nickel
PORTERS GROVE METAL RECOVERY,41.18792,-73.16104,copper
GONG BELL SITE,41.57326,-72.50149999999998,antimony; arsenic; chromium; copper; nickel; zinc
LESTER'S GARAGE,38.37169,-75.62657,arsenic
SHEWRY LIMITED PARTNERSHIP PROPERTY,41.50819,-90.61798,aluminum
SAND ISLAND REDEVELOPMENT PROPERTY,40.61535,-75.38584,graphite
JVIC WILLOWBROOK STORAGE,37.212515,-93.289579,antimony; arsenic; beryllium; nickel
FORMER SCRAP METAL PROCESSORS,44.978452,-93.298165,aluminum; copper; titanium
CENTER STREET CONDOMINIUMS,41.49419,-81.70180999999998,arsenic; chromium
TEXAS TANNING,32.81082,-97.34692,chromium
AMERICAN BRASS,42.577626,-87.82757499999998,copper
GREEN CITY LOFTS,37.83218,-122.27693,chromium
5701 HOLLIS,37.83879,-122.28895,chromium
PROPERTY #1,43.0299,-89.38464999999998,arsenic
PROPERTY #2,43.03033,-89.38498,arsenic
PROPERTY #3,43.0299,-89.38464999999998,arsenic
PROPERTY #4,43.032,-89.38375,arsenic
PROPERTY #5,43.03185,-89.38123,arsenic
PROPERTY #6,43.03185,-89.38123,arsenic
PROPERTY #7,43.03185,-89.38123,arsenic
PROPERTY #9,43.034194,-89.38119399999998,arsenic
PROPERTY #10,43.034083,-89.382639,arsenic
PROPERTY #11,43.033806,-89.383944,arsenic
PROPERTY #12,43.034417,-89.383944,arsenic
LIHUE PLANTATION SUGAR MILL,21.97374,-159.371202,arsenic
WILDER PROPERTY,27.964378,-82.82209,aluminum
BRATTLEBORO BASKETVILLE,42.846722,-72.565582,arsenic
PROPERTY #8,43.03307,-89.38079999999998,arsenic; chromium
PROPERTY #13,43.03511,-89.38011,arsenic; chromium
AC LAWRENCE LEATHER,42.781139,-72.385,chromium
"NEWARK PROCESSING CO, INC.",40.06259,-82.35083,aluminum
FORMER BAKERS AUTO SALVAGE,39.75208,-92.44947,arsenic
ABEX CORPORATION,41.506763,-87.61618699999998,manganese
FORMER NEWARK PROCESSING PLANT,40.06254,-82.35163,aluminum
CERRILLOS HILLS MINING DISTRICT,35.467,-106.1102,copper; zinc
PROPOSED ROBERT OVROM PARK & COMMUNITY DAY SCHOOL,34.17664,-118.30451,arsenic
NORTH DORSET GAS STATION,43.286086,-73.000629,antimony; arsenic
COLUMBUS PARK - MOLLE PROPERTIES: 401 CHARLOTTE,39.11044,-94.57476,arsenic; chromium
COLUMBUS PARK - MOLLE PROPERTIES: 311 CHARLOTTE,39.11113,-94.57499,arsenic; chromium
COLUMBUS PARK - MOLLE PROPERTIES: 400 CHARLOTTE,39.11043,-94.57476,arsenic; chromium
COLUMBUS PARK - MOLLE PROPERTIES: 701 EAST 3RD STREET,39.11128,-94.5763,arsenic; chromium
COLUMBUS PARK - 810 E. 4TH STREET,39.11107,-94.57403,arsenic
FORMER HEALY DODGE PROPERTIES,44.00746,-86.459,arsenic
HINCKLEY RIDGE,41.424781,-81.684977,arsenic
INCHELIUM TRIBAL WOOD TREATMENT,48.293902,-118.205891,arsenic; chromium; copper
COMMERCE SQUARE,43.16985,-78.68755,copper
"FALCO-CLARENCE, FAIRFIELD ALUMINUM CASTING COMPANY",39.748732,-92.25856700000001,aluminum; magnesium
OLD BLACK DIAMOND INDUSTRIAL PROPERTY,38.400788,-82.497865,arsenic
MIGC EAST 134TH STREET,41.54834,-81.59111,nickel
EELWEIR SITE,44.748119,-69.403172,arsenic; chromium
TRINITY BUILDING (MONARCH ALUMINUM),41.480279,-81.746746,aluminum
FLORY'S PLAZA,43.601791,-73.017601,antimony
FERRY CAP AND SET SCREW,41.48033,-81.74612,aluminum
CLOUDY DAY,37.987877,-107.686936,arsenic; manganese; nickel; zinc
MANGANESE,37.991708,-107.683565,manganese
PINE,37.988174,-107.68792,arsenic; manganese; nickel; zinc
HOLLISTER: WAHCONAH STREET PROPERTY,42.46924,-73.24961999999998,arsenic
PORT OF NEWPORT INTERNATIONAL TERMINAL,44.63224,-124.04506,arsenic; chromium
FORMER RINGLE ELECTROPLATING FACILITY,40.393056,-84.176389,nickel
FORMER PENINSULA BEVERAGE SITE PARCEL 017- 06,45.84129,-88.04526,aluminum
FORMER CROMWELL-COLLIER PUBLISHING AND PARKING LOT,39.92366,-83.81608,chromium
701 EAST VIENNA STREET,43.08583,-87.90184,aluminum
FORMER CLEVELAND PUBLIC POWER (CPP) SITE,41.52655,-81.65815999999998,arsenic; zinc
JVIC SPRINGFIELD MORTUARY,37.21251,-93.29226000000001,arsenic
703 COURT STREET,27.96195,-82.79652,arsenic
MSGA ENTERPRISES,41.25285,-95.85488,arsenic
1025 S. 7TH STREET,41.25167,-95.85486,arsenic
1912 EDGEWOOD AVE,42.744922,-87.79820499999998,aluminum
FEDEROW PROPERTY,37.21096,-93.26124,arsenic
3033 W. WALNUT ST.,43.0528,-87.95214,arsenic
FORMER VARIETY FOODS SITE,41.45,-81.62,aluminum
"LAFARGE, NORTH AMERICA - VACANT PROPERTY",45.07797,-83.4745,aluminum; antimony; arsenic; beryllium; chromium; lithium; magnesium
QUALITY WOOD TREATING CO INC,39.99098,-82.84711,copper
PROPOSED ASPIRE CHARTER SCHOOL,37.75903,-122.19799,arsenic
MEMORIAL DRIVE GREENWAY PROJECT 1,33.74703,-84.37518,aluminum
KRUG GLAZING PROPERTY,43.02764,-78.87466999999998,aluminum
FORMER TRUCK SERVICE GARAGE PROPERTY,39.8026,-86.14143,arsenic
COASTAL METALS - LOT 7,42.8335,-71.00416,zinc
1409 DORR STREET,41.65298,-83.577994,tin
QUINCY ROUNDHOUSE,47.137963,-88.57468799999998,copper
FAIRFIELD DR AND TEXAR DR,30.44506,-87.23263,arsenic
OLD DUMP AT JOE WARD SLOUGH,66.565768,-145.244916,arsenic; chromium
OTHORP LAKE ROAD DUMP,48.879043,-115.052045,arsenic
4203-4225 WEST CAPITOL AVENUE,38.57791,-121.56818,nickel
WEYERHAEUSER PROPERTY,38.57982,-121.51099,aluminum
AUGUSTA HUD PARKING LOT BTA,37.678174,-96.97651,arsenic
PORT MANCHAC,30.317042,-90.404658,manganese
"FINDLAY CARTAGE CO., INC.",41.05141,-83.66032,arsenic
280-286 LYELL AVENUE AND 55 DEWEY AVENUE,43.16464,-77.63243,tin
HENRYETTA GREENSPACE								,35.482529,-95.924427,zinc
BERRY LANE PROPERTY 2,40.71099,-74.0698,chromium
BERRY LANE PROPERTY 3,40.711782,-74.069147,chromium
BERRY LANE PROPERTY 4/GARFIELD JUNKYARD,40.711074,-74.069415,chromium
BERRY LANE PROPERTY 5/HIT OR MISS,40.71073,-74.069693,chromium
BERRY LANE PROPERTY 6/MA & OK,40.71165,-74.06922,chromium
BERRY LANE PROPERTY 7/PURPLE FISH,40.71228,-74.06877,chromium
BERRY LANE PROPERTY 8/JR TRANSPORTATION,40.71256,-74.06857999999998,chromium
BOSTON EAST,42.37292,-71.04123,tin
RALPH HERMAN FARM,44.967228,-85.654306,arsenic
DISCO ALUMINUM,40.62248,-74.41236999999998,aluminum
DISCO ALUMINUM 524-532 SOUTH AVENUE,40.62214,-74.41293,aluminum
DISCO ALUMINUM 539 EAST 6TH STREET,40.6217,-74.412142,aluminum
DISCO ALUMINUM 529 EAST 6TH STREET,40.62171,-74.41209999999998,aluminum
DISCO ALUMINUM LOT 8,40.622695,-74.411674,aluminum
JENNY LIND EQUALIZATION BASIN,35.330346,-94.414067,zinc
DISCO ALUMINUM 535 EAST 6TH STREET,40.621753,-74.412053,aluminum
843 US HIGHWAY 441,26.809418,-80.653328,arsenic
PAINTED HILLS NATURAL RESOURCES PARK,32.235535,-110.989549,tungsten
124 WOODLAWN AVENUE,40.70255,-74.08531,chromium
128 WOODLAWN AVENUE,40.70266,-74.08547,chromium
WATERFRONT PARCEL 3 BROWNFIELDS SITE,42.85076,-72.55598,arsenic
JEFFERSON-GENESEE SITE 2,42.89638,-78.853494,tin
SAFETY DISPOSAL SYSTEMS STORAGE PROPERTIES,32.879,-81.1074,arsenic; chromium
