PRIMARY_NAME,LATITUDE83,LONGITUDE83,mineral
ROLFITE COMPANY,41.316432,-73.090773,Magnesium
DEL CHAPEL PLACE,39.67637,-75.74367,Silicon
DURRETT-SHEPPARD PROPERTY,39.277664,-76.631474,Copper
POINCIANA INDUSTRIAL CENTER (PIC),25.8447,-80.23966,Arsenic
AK ZINC,42.321205,-85.19909,Zinc
FORMER ATCOM PARCEL SITE,38.68775,-90.26828,Beryllium
NATIONAL ZINC CO,37.278553,-95.561724,Zinc
HELLER,39.79465,-104.98538,Arsenic
OAKRIDGE INDUSTRIAL PARK,43.73626,-122.4494,Arsenic
OAKRIDGE INDUSTRIAL PARK,43.73626,-122.4494,Chromium
BENTON AUTO WRECKERS,44.54856,-123.31952,Arsenic
BENTON AUTO WRECKERS,44.54856,-123.31952,Beryllium
METHUEN MILL PROPERTY,42.7263,-71.18943,Arsenic
RIVERS EDGE - PARCELS 4-1 THROUGH 4-6,42.41178,-71.07655,Arsenic
RIVERS EDGE - PARCELS 4-1 THROUGH 4-6,42.41178,-71.07655,Chromium
MARALCO,47.42112,-122.235239,Aluminum
KVICHAK MARINE,47.654999,-122.361946,Aluminum
206 W. HERMAN STREET,30.44877,-87.23181,Arsenic
VISION CONSTRUCTION/2500 N. PALAFOX STREET,30.43775,-87.22113,Arsenic
IRON TRIANGLE PROPERTY,30.445982,-87.228055,Aluminum
IRON TRIANGLE PROPERTY,30.445982,-87.228055,Copper
IRON TRIANGLE PROPERTY,30.445982,-87.228055,Manganese
IRON TRIANGLE PROPERTY,30.445982,-87.228055,Zinc
170 SARGEANT STREET (SARGEANT/BEECH STREETS BLOCK),42.20304,-72.61895,Chromium
170 SARGEANT STREET (SARGEANT/BEECH STREETS BLOCK),42.20304,-72.61895,Nickel
ESSEX WIRE,41.93695,-85.62974,Copper
LONGWORTH PLATING SVE CO,42.31897,-84.02021,Chromium
LONGWORTH PLATING SVE CO,42.31897,-84.02021,Nickel
LONGWORTH PLATING SVE CO,42.31897,-84.02021,Tin
LONGWORTH PLATING SVE CO,42.31897,-84.02021,Zinc
NORTH STREET DUMP,34.91982,-81.93213,Aluminum
NORTH STREET DUMP,34.91982,-81.93213,Arsenic
NORTH STREET DUMP,34.91982,-81.93213,Beryllium
NORTH STREET DUMP,34.91982,-81.93213,Chromium
NORTH STREET DUMP,34.91982,-81.93213,Manganese
NORTH STREET DUMP,34.91982,-81.93213,Vanadium
LOGAN'S LANDSCAPING,42.24018,-83.60963,Aluminum
HURON TRADE CENTER,42.24108,-83.60714,Tin
WILSON AVENUE,41.07133,-80.59879,Aluminum
FORMER QUALITY CHEF FOODS,41.970957,-91.658597,Arsenic
FORMER QUALITY CHEF FOODS,41.970957,-91.658597,Chromium
CONNECTICUT TRANSFER LLC,41.19334,-73.19042,Arsenic
CONNECTICUT TRANSFER LLC,41.19334,-73.19042,Zinc
NSC PLATING,40.74596,-74.19994,Nickel
UNION CARBIDE,43.120438,-79.041624,Chromium
BARBER COLMAN - INVENSYS METAL PLATING AREA (BUILDINGS 14/15),42.2669,-89.078354,Chromium
WILLIAMS AFB BASE CONVERSION PARCEL N TRANSFER,33.283056,-111.942708,Beryllium
BRLF-06: AMERICAN PLATING,47.243,-122.43002,Copper
BRLF-06: AMERICAN PLATING,47.243,-122.43002,Nickel
SILVER CITY ALUMINUM,41.9007,-71.08848,Aluminum
CONSTRCTN MACHINERY CO,42.49996,-92.32047,Arsenic
CONSTRCTN MACHINERY CO,42.49996,-92.32047,Chromium
VIACOM/GULF & WESTERN,39.88691,-75.12983,Titanium
PARK MADISON,40.618507,-74.424006,Nickel
PORTERS GROVE METAL RECOVERY,41.18792,-73.16104,Copper
GONG BELL SITE,41.57326,-72.5015,Antimony
GONG BELL SITE,41.57326,-72.5015,Arsenic
GONG BELL SITE,41.57326,-72.5015,Chromium
GONG BELL SITE,41.57326,-72.5015,Copper
GONG BELL SITE,41.57326,-72.5015,Nickel
GONG BELL SITE,41.57326,-72.5015,Zinc
LESTER'S GARAGE,38.37169,-75.62657,Arsenic
SHEWRY LIMITED PARTNERSHIP PROPERTY,41.50819,-90.61798,Aluminum
SAND ISLAND REDEVELOPMENT PROPERTY,40.61535,-75.38584,Graphite
JVIC WILLOWBROOK STORAGE,37.212515,-93.289579,Antimony
