name,facility_a,Latitude,longitude,Manufacturing_Products,associated_product_type
"MASTER WOODCRAFT, INC.","1312 COLLEGE STREET, OXFORD, NC, 27565",-2.383,-78.343,MAGNETIC PRODUCTS,MAGNETS
READE ADVANCED MATERIALS,"850 WATERMAN AVENUE, EAST PROVIDENCE, RI, 02914",4.067,-74.483,ALLOY,ALLOYS
READE ADVANCED MATERIALS,"850 WATERMAN AVENUE, EAST PROVIDENCE, RI, 02914",4.067,-74.483,MAGNETIC,MAGNETS
BERGQUIST IMPORTS,"1412 MN 33 SOUTH, CLOQUET, MN, 55720",6.776,-89.213,MAGNETS,MAGNETS
IT TAKES TWO,"100 MINNESOTA AVENUE, LE SUEUR, MN, 56058",4.472,-90.095,MAGNETIC LIST PADS,MAGNETS
"MAGNA-TEL, INC.","775 SOUTH KINGSHIGHWAY, CAPE GIRARDEAU, MO, 63703",-2.551,-86.657,MAGNETIC ADVERTISING SPECIALTIES,MAGNETS
"GEMINI INDUSTRIES, INC.","1 GEMINI INDUSTRIAL DRIVE, ROXANA, IL, 62084",-1.032,-87.128,MAGNETS,MAGNETS
"MONARCH PRESS, THE","9353 LEE ROAD, JACKSON, MI, 49201",2.755,-83.32,MAGNETS,MAGNETS
"WEST BANK CREATIVE, INC.","20 POPLAR AVENUE, LITTLE FERRY, NJ, 07643",2.698,-76.061,INCLUDING MAGNETS,MAGNETS
"ESSEX GROUP, INC.","1299 EAST ESSEX ROAD, VINCENNES, IN, 47591",-1.1,-85.252,MAGNET WIRE,MAGNETS
"REA MAGNET WIRE CO., INC.","2800 CONCORD ROAD, LAFAYETTE, IN, 47909",0.719,-84.949,MAGNET WIRE,MAGNETS
"REA MAGNET WIRE CO., INC.","2131 SOUTH COLISEUM BOULEVARD, FORT WAYNE, IN, 46803",1.537,-83.769,MAGNET WIRE,MAGNETS
"SUMITOMO ELECTRIC WINTEC AMERICA, INC.","909 INDUSTRIAL DRIVE, EDMONTON, KY, 42129",-2.56,-83.672,COPPER-BASED MAGNET WIRE,MAGNETS
