name,facility_a,product,Latitude,longitude
READE ADVANCED MATERIALS,"850 WATERMAN AVENUE, EAST PROVIDENCE, RI, 02914","SPECIALTY CHEMICAL SOLIDS, INCLUDING METAL, ALLOY, MINERAL, CERAMIC, COMPOSITE, CONDUCTIVE, MAGNETIC, NANOPARTICLE",4.067,-74.483
"ELANTAS PDG, INC.","5200 NORTH 2ND STREET, SAINT LOUIS, MO, 63147","MAGNET WIRE ENAMEL, INSULATING RESINS, POTTING COMPOUNDS, CONFORMAL COATINGS & RELATED SPECIALTY RESIN SYSTEMS",-1.189,-87.232
ENECON CORP.,"700 HICKSVILLE ROAD, BETHPAGE, NY, 11714",POLYMERS & MAGNETIC COMPONENTS,2.683,-75.671
"OXFORD INSTRUMENTS AMERICA, INC.","300 BAKER AVENUE, CONCORD, MA, 01742","BENCHTOP NUCLEAR MAGNETIC RESONANCE ANALYZERS FOR FOOD & AGRICULTURE, PHARMACEUTICAL & HEALTHCARE APPLICATIONS",4.677,-74.668
"PERFORMANCE CONTROLS, INC.","151 DOMORAH DRIVE, MONTGOMERYVILLE, PA, 18936","POWER AMPLIFIERS, SUPPLIES & BRIDGES FOR MAGNETIC RESONANCE IMAGING & DIAGNOSTIC MACHINES",1.903,-76.738
KELYTECH CORP.,"1482 GLADDING COURT, MILPITAS, CA, 95035","PRINTED CIRCUIT BOARDS, CHASSIS, MAGNETIC PRODUCTS, CABLE & HARNESS, PROTOTYPES, DESIGN, ASSEMBLY, TEST & REWORK",0.149,-109.993
"STEREOTAXIS, INC.","4320 FOREST PARK AVENUE, SAINT LOUIS, MO, 63108",MAGNETIC THERAPEUTIC MEDICAL EQUIPMENT,-1.235,-87.265
GE HEALTHCARE COILS,"1515 DANNER DRIVE, AURORA, OH, 44202",MAGNETIC RESONANCE IMAGING & MRI COILS,2.112,-81.168
"AVOTEC, INC.","603 NW BUCK HENDRY WAY, STUART, FL, 34994",MAGNETIC RESONANCE IMAGING ACCESSORIES,-11.495,-77.858
"CHARLESTON ENTERPRISES, INC.","510 WEST ASHLEY AVENUE, FOLLY BEACH, SC, 29439",THERAPEUTIC MAGNET KITS,-6.171,-78.67
"SPECTRA-MAT, INC.","100 WESTGATE DRIVE, WATSONVILLE, CA, 95076",THERMAL MAGNETIC MATERIAL,-0.303,-110.055
SANTRONICS,"1240 BIRCHWOOD DRIVE, SUNNYVALE, CA, 94089","CUSTOM ELECTRONIC MAGNETIC COMPONENTS, INCLUDING TRANSFORMERS, INDUCTORS & COILS FOR DATA TRANSMISSION, POWER CONVERSION",0.164,-110.064
"VANGUARD ELECTRONICS CO., INC.","7412 PRINCE DRIVE, HUNTINGTON BEACH, CA, 92647",ELECTROMAGNETIC INDUCTORS & TRANSFORMERS,-3.914,-108.255
ASSOCIATED COMPONENTS TECHNOLOGY,"13932 NAUTILUS DRIVE, GARDEN GROVE, CA, 92843",INDUCTORS & MAGNETIC PRODUCTS,-3.892,-108.186
"INDUCTOR SUPPLY, INC.","5362 OCEANUS DRIVE, HUNTINGTON BEACH, CA, 92649",ELECTRONIC MAGNETIC INDUCTORS,-3.885,-108.275
"CORONA MAGNETICS, INC.","201 CORPORATE TERRACE, CORONA, CA, 92879",ELECTROMAGNETIC COMPONENTS,-3.859,-107.884
ELECTRONETICS,"1320 75TH STREET SW, EVERETT, WA, 98203",INDUSTRIAL MAGNETIC COMPONENTS,9.707,-107.769
"POWER CONVERSION, INC.","19501 144TH AVENUE NE, WOODINVILLE, WA, 98072",MAGNETIC COMPONENTS,9.546,-107.743
"HIREL SYSTEMS, LLC","604 WEST ERIE ROAD, MARSHALL, MN, 56258",ELECTRICAL TRANSFORMERS & MAGNETIC COMPOUNDS,4.48,-91.364
NICOLLET TECHNOLOGIES CORP.,"711 15TH AVENUE NE, MINNEAPOLIS, MN, 55413","ELECTRICAL TRANSFORMERS, MAGNETIC COMPONENTS & POWER SUPPLIES",5.051,-89.672
"NOVA MAGNETICS, INC.","1101 EAST WALNUT STREET, GARLAND, TX, 75040",TRANSFORMERS & MAGNETIC COMPONENTS,-7.084,-92.018
"HOUSTON TRANSFORMER CO., LTD.","5725 BRAXTON DRIVE, HOUSTON, TX, 77036","TRANSFORMERS, CHOKES, REACTORS, INDUCTORS, RELATED MAGNETIC DEVICES, INCLUDING MACHINING & SHEET METAL FABRICATION",-10.29,-91.147
JACKSON TRANSFORMER CO.,"4709 WEST CAYUGA STREET, TAMPA, FL, 33614","TRANSFORMERS, REACTORS, CHOKES, MAGNETIC PRODUCTS & CAPACITORS FOR THE INDUCTION HEATING & INDUCTION MELTING INDUSTRIES",-11.115,-79.924
AMERICAN MAGNETICS CORP.,"512 SOUTH JACKSON STREET, CARTERVILLE, IL, 62918","TRANSFORMERS, INDUCTORS, COILS & MAGNETIC DEVICES",-2.054,-86.33
"SNC MFG. CO., INC.","101 WEST WAUKAU AVENUE, OSHKOSH, WI, 54902","CORPORATE HEADQUARTERS & ELECTRICAL TRANSFORMERS, COILS, HIGH-FREQUENCY MAGNETICS & HARMONIC CONTROL PRODUCTS",4.209,-86.44
"FOREST ELECTRIC CO., THE","1301 ARMITAGE AVENUE, MELROSE PARK, IL, 60160","ELECTRONIC TRANSFORMERS, COILS & OTHER MAGNETIC COMPONENTS",2.181,-85.791
PHILIPS LIGHTING ELECTRONICS (H Q),"10275 WEST HIGGINS ROAD, ROSEMONT, IL, 60018",COMPANY HEADQUARTERS; ELECTROMAGNETIC & ELECTRONIC BALLASTS (MFG. DONE OVERSEAS),2.261,-85.823
"MAGNETIC COMPONENTS, INC.","9520 AINSLIE STREET, SCHILLER PARK, IL, 60176","TRANSFORMERS, INDUCTORS, REACTORS, AMPLIFIERS, FILTERS & SWITCHER MAGNETICS",2.233,-85.808
"SOUTH HAVEN COIL, INC.","5585 BLUE STAR MEMORIAL HIGHWAY, SOUTH HAVEN, MI, 49090","ELECTRONIC COILS, ASSEMBLIES, WIRING HARNESSES & MAGNETS",2.772,-84.734
"XFMRS, INC.","7570 EAST LANDERSDALE ROAD, CAMBY, IN, 46113","TRANSFORMERS, CHOKES, COIL INDUCTORS, AC/DC CONVERTERS, INVERTER MODULES & MAGNETIC COMPONENTS",-0.005,-84.461
"CONTROL TRANSFORMER, INC.","3701 WARREN MEADVILLE ROAD, CORTLAND, OH, 44410","MAGNETIC, DRY-TYPE & WATER COOLED TRANSFORMERS, CHOKES & REACTORS",2.222,-80.76
STIMPLE & WARD CO.,"3400 BABCOCK BOULEVARD, PITTSBURGH, PA, 15237",COMPANY HEADQUARTERS & ELECTRICAL COILS & MAGNET WIRE,1.537,-80.135
"DYCO ELECTRONICS, INC.","7775 INDUSTRIAL PARK ROAD, HORNELL, NY, 14843","TRANSFORMERS, INDUCTORS, MAGNETIC COMPONENTS & POWER SUPPLIES",3.636,-78.855
GOWANDA ELECTRONICS CORP.,"1 MAGNETICS PARKWAY, GOWANDA, NY, 14070","MAGNETIC COMPONENTS, INDUCTORS, CHOKES & COIL WINDINGS",3.554,-79.717
GB INTERNATIONAL,"1408 AIRPORT ROAD, ENDICOTT, NY, 13760","CUSTOM TRANSFORMERS, INDUCTORS, COILS, TOROIDS & MAGNETIC COMPONENTS, INCLUDING PLASTIC MOLDING, ASSEMBLIES",3.571,-77.726
"QUALITY COILS, INC.","748 MIDDLE STREET, BRISTOL, CT, 06010",CORPORATE HEADQUARTERS & ELECTROMAGNETIC COILS,3.649,-75.484
"QUALITY COILS, INC.","70 VOLUNTOWN ROAD, PAWCATUCK, CT, 06379",ELECTROMAGNETIC COILS,3.593,-74.714
"SAG HARBOR INDUSTRIES, INC.","1668 SAG HARBOR TURNPIKE, SAG HARBOR, NY, 11963","CORPORATE HEADQUARTERS & CONTRACT MANUFACTURING OF CUSTOM MAGNETIC COMPONENTS, COILS, INDUCTORS & TRANSFORMERS",3.113,-74.918
"INTERNATIONAL COIL, INC.","15 JONATHAN DRIVE, BROCKTON, MA, 02301","TRANSFORMERS, MAGNETICS, INDUCTORS, AC-DC POWER SUPPLIES, DC-DC CONVERTERS, CHOKES, COIL & FILTERS",4.35,-74.351
"HIREL SYSTEMS, LLC","140 CROSBY ROAD, DOVER, NH, 03820","ELECTRICAL COMPONENT WINDINGS, MAGNETIC TRANSFORMERS & INDUCTORS",5.444,-74.537
